Plant Code,Plant Name,State,County,solar_mw,Latitude,Longitude,onset_cat,surge_exposed,surge_descr,depth_source
63109,Discovery Solar Center,FL,Brevard,74.5,28.528933,-80.6789,1.0,True,"FEMA Zones (% annual chance): A zone (1%) & 0.2%, Sea Level Rise (Above MHHW): 3 ft, Storm Surge (by Hurricane Category): 1 & 2 & 3",NOAA_CFEM_composite
64641,Big Bend II Solar,FL,Hillsborough,45.8,27.781988,-82.390452,1.0,True,"FEMA Zones (% annual chance): A zone (1%) & 0.2%, Storm Surge (by Hurricane Category): 1 & 2 & 3",NOAA_CFEM_composite
64535,Camden Solar LLC,NC,Camden,20.0,36.30786,-76.144486,1.0,True,"FEMA Zones (% annual chance): 0.2%, Storm Surge (by Hurricane Category): 1 & 2 & 3",NOAA_CFEM_composite
62854,St. James Solar (LA),LA,St James,20.0,29.9734,-90.7335,1.0,True,"FEMA Zones (% annual chance): 0.2%, Storm Surge (by Hurricane Category): 1 & 2 & 3",NOAA_CFEM_composite
64145,Bay Trail Solar Power Plant,FL,Citrus,74.9,28.99999,-82.672244,2.0,True,"FEMA Zones (% annual chance): 0.2%, Storm Surge (by Hurricane Category): 2 & 3",NOAA_CFEM_composite
60611,Summit Farms Solar,NC,Currituck,62.4,36.4765,-76.136,2.0,True,Storm Surge (by Hurricane Category): 2 & 3,NOAA_CFEM_composite
63187,"FL Solar 4, LLC",FL,Leon,42.0,30.2354,-84.2233,2.0,True,"FEMA Zones (% annual chance): 0.2%, Storm Surge (by Hurricane Category): 2 & 3",NOAA_CFEM_composite
59155,Shawboro PV1,NC,Currituck,20.0,36.433333,-76.087222,2.0,True,"FEMA Zones (% annual chance): 0.2%, Storm Surge (by Hurricane Category): 2 & 3",NOAA_CFEM_composite
64169,Albemarle Beach Solar,NC,Washington,130.2,35.928188,-76.620452,3.0,True,"FEMA Zones (% annual chance): 0.2%, Storm Surge (by Hurricane Category): 3",NOAA_CFEM_composite
64683,"Oak Trail Solar, LLC",NC,Currituck,100.0,36.5044,-76.1887,3.0,True,Storm Surge (by Hurricane Category): 3,NOAA_CFEM_composite
62544,Wilkinson Solar LLC,NC,Beaufort,80.6,35.596814,-76.763849,3.0,True,Storm Surge (by Hurricane Category): 3,NOAA_CFEM_composite
65323,Bedford Solar (Dominion),VA,Chesapeake City,70.0,36.7,-76.1647,3.0,True,Storm Surge (by Hurricane Category): 3,NOAA_CFEM_composite
61813,"Ranchland Solar, LLC",NC,Currituck,60.0,36.472591,-76.154089,3.0,True,Storm Surge (by Hurricane Category): 3,NOAA_CFEM_composite
61646,LA3 West Baton Rouge Solar Facility,LA,West Baton Rouge,50.0,30.465105,-91.331855,3.0,True,"FEMA Zones (% annual chance): A zone (1%) & 0.2%, Storm Surge (by Hurricane Category): 3",NOAA_CFEM_composite
63084,Caden Energix Hickory LLC,VA,Chesapeake City,32.0,36.624113,-76.194266,3.0,True,Storm Surge (by Hurricane Category): 3,NOAA_CFEM_composite
60422,Morgan's Corner,NC,Pasquotank,20.0,36.421064,-76.364244,3.0,True,Storm Surge (by Hurricane Category): 3,NOAA_CFEM_composite
64927,Aktina Solar,TX,Wharton,500.0,29.122,-96.276,,False,no-surge/NoData,NOAA_CFEM_composite
64233,Hecate Energy Frye Solar LLC,TX,Swisher,500.0,34.4067,-101.59661,,False,no-surge/NoData,NOAA_CFEM_composite
64347,Mockingbird Solar Center,TX,Lamar,471.0,33.39167,-95.42519,,False,no-surge/NoData,NOAA_CFEM_composite
64133,"Old 300 Solar Center, LLC",TX,Fort Bend,430.0,29.33355,-95.82544,,False,no-surge/NoData,NOAA_CFEM_composite
63255,2W Permian Solar Project Hybrid,TX,Andrews,420.0,32.116388,-102.528333,,False,no-surge/NoData,NOAA_CFEM_composite
62561,"Roadrunner, LLC Hybrid",TX,Upton,400.0,31.219444,-102.19222,,False,no-surge/NoData,NOAA_CFEM_composite
65762,Waco Solar,TX,Limestone,400.0,31.710422,-96.818676,,False,no-surge/NoData,NOAA_CFEM_composite
66420,Five Wells Solar Center - Hybrid,TX,Bell,355.4,30.998647,-97.259017,,False,no-surge/NoData,NOAA_CFEM_composite
66157,Red Tailed Hawk Solar LLC,TX,Wharton,350.0,29.159228,-96.141572,,False,no-surge/NoData,NOAA_CFEM_composite
65645,Lumina Solar Project,TX,Scurry,326.6,32.901081,-100.982695,,False,no-surge/NoData,NOAA_CFEM_composite
65644,Lumina II Solar Project,TX,Scurry,326.6,32.883528,-100.746389,,False,no-surge/NoData,NOAA_CFEM_composite
64859,"IP Radian, LLC",TX,Brown,320.0,31.5481,-99.1872,,False,no-surge/NoData,NOAA_CFEM_composite
67006,Greasewood II LLC,TX,Pecos,306.0,31.10409,-102.60625,,False,no-surge/NoData,NOAA_CFEM_composite
63328,Juno Solar Project,TX,Borden,305.6,32.772889,-101.39102,,False,no-surge/NoData,NOAA_CFEM_composite
62755,Prospero Solar,TX,Andrews,300.0,32.287873,-102.840399,,False,no-surge/NoData,NOAA_CFEM_composite
63194,Delilah Solar Energy LLC,TX,Red River,300.0,33.284418,-95.163557,,False,no-surge/NoData,NOAA_CFEM_composite
65030,Oxbow Solar 1,LA,Pointe Coupee,300.0,30.667878,-91.391706,,False,no-surge/NoData,NOAA_CFEM_composite
65271,Noble Solar,TX,Denton,275.0,33.261505,-97.238057,,False,no-surge/NoData,NOAA_CFEM_composite
63320,Titan Solar Project,TX,Culberson,260.0,31.70038,-104.458136,,False,no-surge/NoData,NOAA_CFEM_composite
62804,Greasewood Solar,TX,Pecos,255.0,31.030996,-102.488209,,False,no-surge/NoData,NOAA_CFEM_composite
62483,Taygete Energy Project LLC,TX,Pecos,255.0,31.165245,-103.125868,,False,no-surge/NoData,NOAA_CFEM_composite
65654,Texas Solar Nova 1,TX,Kent,252.0,33.320637,-100.982201,,False,no-surge/NoData,NOAA_CFEM_composite
64325,Prospero Solar II,TX,Andrews,250.0,32.275814,-102.844806,,False,no-surge/NoData,NOAA_CFEM_composite
65631,"Pisgah Ridge Solar, LLC",TX,Navarro,250.0,31.896737,-96.467327,,False,no-surge/NoData,NOAA_CFEM_composite
65303,Sun Valley Solar Project,TX,Hill,250.0,31.86976,-97.01498,,False,no-surge/NoData,NOAA_CFEM_composite
63211,Samson Solar Energy,TX,Franklin,250.0,33.25102,-95.193426,,False,no-surge/NoData,NOAA_CFEM_composite
61346,RE Maplewood,TX,Pecos,250.0,30.976638,-102.257753,,False,no-surge/NoData,NOAA_CFEM_composite
61906,Phoebe Solar,TX,Winkler,250.0,31.843422,-102.868295,,False,no-surge/NoData,NOAA_CFEM_composite
61920,Galloway 1 Solar Farm,TX,Concho,250.0,31.435932,-99.796613,,False,no-surge/NoData,NOAA_CFEM_composite
63840,Sparta Solar,TX,Bee,250.0,28.655277,-98.001388,,False,no-surge/NoData,NOAA_CFEM_composite
66821,Orion III Solar Project,TX,Milam,250.0,30.960219,-97.12452,,False,no-surge/NoData,NOAA_CFEM_composite
67127,"SR Toombs, LLC",GA,Montgomery,250.0,32.294555,-82.41625,,False,no-surge/NoData,NOAA_CFEM_composite
66941,Orion II Solar Project,TX,Milam,250.0,31.029028,-96.934783,,False,no-surge/NoData,NOAA_CFEM_composite
