Plant Code,Plant Name,State,County,solar_mw,Latitude,Longitude,landfalls_100km
65423,Everglades Solar Energy Center,FL,Miami Dade,74.5,25.54255,-80.55434,31
61766,Miami Dade Solar Energy Center,FL,Miami Dade,74.5,25.64,-80.49,30
59691,Gulf Coast Solar Center III,FL,Escambia,50.0,30.470351,-87.335193,23
65867,Sparkleberry,FL,Escambia,74.5,30.76314,-87.4332,21
59689,Gulf Coast Solar Center I,FL,Okaloosa,30.0,30.515448,-86.518407,20
65947,Tres Bahias,TX,Calhoun,196.3,28.68851,-96.509833,19
63842,"Trent River Solar, LLC",NC,Jones,78.7,34.9915,-77.2514,19
65521,"Longbow Solar, LLC",TX,Brazoria,78.1,29.289809,-95.298609,19
64146,Sandy Creek Solar Power Plant,FL,Bay,74.9,30.103137,-85.410393,19
65171,Bay Ranch Solar Power Plant,FL,Bay,74.9,30.164754,-85.49179,19
65501,Mule Creek Renewable Energy Center,FL,Bay,74.9,30.110543,-85.397607,19
65036,Cotton Creek Solar Energy Center,FL,Escambia,74.5,30.841873,-87.343975,19
65888,Kayak,FL,Okaloosa,74.5,30.415143,-86.423303,19
59690,Gulf Coast Solar Center II,FL,Santa Rosa,40.0,30.430766,-86.895204,19
65427,FPL Flowers Creek Solar Energy Center,FL,Calhoun,74.5,30.569958,-85.040244,18
65433,Blackwater River Solar Energy Center,FL,Santa Rosa,74.5,30.64691,-86.93821,18
65862,Big Juniper Solar,FL,Santa Rosa,74.5,30.63933,-86.92558,18
59678,Innovative Solar 67,NC,Pender,33.3,34.623309,-78.005377,18
62854,St. James Solar (LA),LA,St James,20.0,29.9734,-90.7335,18
65040,Immokalee,FL,Collier,74.5,26.474576,-81.433471,17
65424,First City Solar Energy Center,FL,Escambia,74.5,30.91993,-87.34002,17
65429,FPL Shirer Branch Solar Energy Center,FL,Calhoun,74.5,30.3962,-85.279663,17
65866,Canoe,FL,Okaloosa,74.5,30.68003,-86.78045,17
65927,Fourmile Creek,FL,Calhoun,74.5,30.43989,-85.27589,17
62678,Crooked Run,NC,Pender,70.1,34.67704,-77.977497,17
